sms_id,message,message_length,label
HAM_SMS_02657,Please call me when you are free.,33,ham
HAM_SMS_00446,Your order has been delivered successfully.,43,ham
SPAM_SMS_02006,Win money instantly. Register today and claim your bonus.,57,spam
HAM_SMS_00333,Please find the details shared in the group.,44,ham
HAM_SMS_04169,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_02365,Your payment has been received successfully.,44,ham
HAM_SMS_06098,The report is ready for review.,31,ham
HAM_SMS_00008,Your order has been delivered successfully.,43,ham
SPAM_SMS_00253,You won a shopping voucher. Claim it today.,43,spam
HAM_SMS_04454,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_04744,I reached home safely.,22,ham
HAM_SMS_06244,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_03127,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_04057,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_05853,The report is ready for review.,31,ham
HAM_SMS_00629,I reached home safely.,22,ham
SPAM_SMS_01046,Claim your free gift card now before it expires.,48,spam
HAM_SMS_02482,Let's discuss the presentation after lunch.,43,ham
SPAM_SMS_02244,Win money instantly. Register today and claim your bonus.,57,spam
HAM_SMS_01336,The interview schedule will be shared soon.,43,ham
HAM_SMS_02684,The report is ready for review.,31,ham
HAM_SMS_04567,Please call me when you are free.,33,ham
HAM_SMS_02515,Reminder: submit your assignment before the deadline.,53,ham
SPAM_SMS_01854,Urgent! Your bank account will be blocked. Verify your details immediately.,75,spam
HAM_SMS_01908,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02803,The interview schedule will be shared soon.,43,ham
HAM_SMS_06891,Your order has been delivered successfully.,43,ham
HAM_SMS_00785,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_01990,Exclusive offer only for you. Click here to redeem.,51,spam
HAM_SMS_06894,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_04111,Thank you for your message. I will check and reply soon.,56,ham
SPAM_SMS_00142,Congratulations! You have won a cash prize. Click the link to claim now.,72,spam
SPAM_SMS_01074,Recharge offer available. Get double benefits today.,52,spam
SPAM_SMS_01702,Final warning! Complete KYC verification now.,45,spam
HAM_SMS_05242,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_01928,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_06293,Can you send me the notes from today's lecture?,47,ham
SPAM_SMS_00582,Win money instantly. Register today and claim your bonus.,57,spam
HAM_SMS_06711,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_04758,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_00547,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_03043,Please confirm your availability for the session.,49,ham
HAM_SMS_01860,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_05126,Please find the details shared in the group.,44,ham
SPAM_SMS_00789,Suspicious login detected. Update your password immediately.,60,spam
HAM_SMS_03086,Please call me when you are free.,33,ham
HAM_SMS_02375,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_06409,Your payment has been received successfully.,44,ham
HAM_SMS_06800,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_06913,Your payment has been received successfully.,44,ham
SPAM_SMS_01271,Final warning! Complete KYC verification now.,45,spam
SPAM_SMS_00706,Congratulations! You have won a cash prize. Click the link to claim now.,72,spam
HAM_SMS_05340,I reached home safely.,22,ham
HAM_SMS_04858,I reached home safely.,22,ham
SPAM_SMS_02336,Earn money from home without investment. Join now.,50,spam
HAM_SMS_04685,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_04388,Please find the details shared in the group.,44,ham
HAM_SMS_01948,Please find the details shared in the group.,44,ham
SPAM_SMS_00480,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_02130,Please confirm your availability for the session.,49,ham
HAM_SMS_06907,The interview schedule will be shared soon.,43,ham
SPAM_SMS_00400,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_04281,Please confirm your availability for the session.,49,ham
HAM_SMS_03984,Can you send me the notes from today's lecture?,47,ham
HAM_SMS_05369,Your payment has been received successfully.,44,ham
HAM_SMS_06065,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_03454,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_03106,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_03677,Please call me when you are free.,33,ham
HAM_SMS_06518,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_06416,Your order has been delivered successfully.,43,ham
HAM_SMS_03077,Let's discuss the presentation after lunch.,43,ham
HAM_SMS_02904,The report is ready for review.,31,ham
SPAM_SMS_01446,Your mobile number has won a lottery prize.,43,spam
HAM_SMS_05336,Reminder: submit your assignment before the deadline.,53,ham
HAM_SMS_03329,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_02743,Please call me when you are free.,33,ham
SPAM_SMS_01904,You are selected for a reward. Send your account details now.,61,spam
HAM_SMS_04776,Please find the details shared in the group.,44,ham
HAM_SMS_04746,The interview schedule will be shared soon.,43,ham
HAM_SMS_04173,The meeting has been shifted to 4 PM.,37,ham
SPAM_SMS_00209,You won a shopping voucher. Claim it today.,43,spam
HAM_SMS_05740,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_06522,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_06089,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_06817,I reached home safely.,22,ham
HAM_SMS_00750,Please call me when you are free.,33,ham
HAM_SMS_03485,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_00800,The interview schedule will be shared soon.,43,ham
HAM_SMS_05851,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_02316,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_00517,The meeting has been shifted to 4 PM.,37,ham
HAM_SMS_05073,Your order has been delivered successfully.,43,ham
HAM_SMS_02444,Your order has been delivered successfully.,43,ham
SPAM_SMS_02080,Win money instantly. Register today and claim your bonus.,57,spam
SPAM_SMS_01495,Earn money from home without investment. Join now.,50,spam
HAM_SMS_01583,Please call me when you are free.,33,ham
HAM_SMS_00445,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_03706,Your class schedule has been updated for tomorrow.,50,ham
HAM_SMS_00642,Your order has been delivered successfully.,43,ham
HAM_SMS_02662,Your payment has been received successfully.,44,ham
SPAM_SMS_01721,Congratulations! You have won a cash prize. Click the link to claim now.,72,spam
HAM_SMS_06023,Please find the details shared in the group.,44,ham
HAM_SMS_07166,"Hey, are we meeting today for the project discussion?",53,ham
HAM_SMS_00982,I reached home safely.,22,ham
SPAM_SMS_00801,Win money instantly. Register today and claim your bonus.,57,spam
SPAM_SMS_01411,Final warning! Complete KYC verification now.,45,spam
SPAM_SMS_02241,Earn money from home without investment. Join now.,50,spam
HAM_SMS_06994,Thank you for your message. I will check and reply soon.,56,ham
HAM_SMS_01861,I reached home safely.,22,ham
HAM_SMS_03555,Let's discuss the presentation after lunch.,43,ham
